ars,state,district,name,postal_code,population,area_km2,latitude,longitude
010010000000,Schleswig-Holstein,"Flensburg, Stadt","Flensburg, Stadt",24937,95568,56.73,54.78252,9.43751
010020000000,Schleswig-Holstein,"Kiel, Landeshauptstadt","Kiel, Landeshauptstadt",24103,251842,118.65,54.321775,10.13727
010030000000,Schleswig-Holstein,"Lübeck, Hansestadt","Lübeck, Hansestadt",23539,217061,214.19,53.866269,10.683932
010040000000,Schleswig-Holstein,"Neumünster, Stadt","Neumünster, Stadt",24534,80145,71.66,54.069895,9.988422
010510011011,Schleswig-Holstein,Dithmarschen,"Brunsbüttel, Stadt",25541,12640,65.21,53.896932,9.13735
010510044044,Schleswig-Holstein,Dithmarschen,"Heide, Stadt",25746,22125,31.97,54.193962,9.091156
010515163003,Schleswig-Holstein,Dithmarschen,Averlak,25715,595,9.06,53.941154,9.182663
010515163010,Schleswig-Holstein,Dithmarschen,Brickeln,25712,185,6.07,54.00849,9.221166
010515163012,Schleswig-Holstein,Dithmarschen,Buchholz,25712,998,14.56,53.987132,9.223774
010515163016,Schleswig-Holstein,Dithmarschen,Burg (Dithmarschen),25712,4079,11.25,53.99748,9.26246
010515163022,Schleswig-Holstein,Dithmarschen,Dingen,25715,645,7.01,53.960888,9.125804
010515163024,Schleswig-Holstein,Dithmarschen,Eddelak,25715,1332,9.21,53.945888,9.137433
010515163026,Schleswig-Holstein,Dithmarschen,Eggstedt,25721,749,12.79,54.054535,9.25927
010515163032,Schleswig-Holstein,Dithmarschen,Frestedt,25727,330,10.33,54.023523,9.176133
010515163037,Schleswig-Holstein,Dithmarschen,Großenrade,25712,462,10.4,54.02206,9.223435
010515163051,Schleswig-Holstein,Dithmarschen,Hochdonn,25712,1076,5.46,54.019564,9.293145
010515163064,Schleswig-Holstein,Dithmarschen,Kuden,25712,658,11.37,53.967853,9.192822
010515163089,Schleswig-Holstein,Dithmarschen,Quickborn,25712,186,6.95,54.010081,9.206506
010515163097,Schleswig-Holstein,Dithmarschen,Sankt Michaelisdonn,25693,3473,23.06,53.994807,9.121257
010515163110,Schleswig-Holstein,Dithmarschen,Süderhastedt,25727,795,15.74,54.04991,9.20886
010515166021,Schleswig-Holstein,Dithmarschen,Diekhusen-Fahrstedt,25709,651,7.46,53.946249,9.023165
010515166034,Schleswig-Holstein,Dithmarschen,Friedrichskoog,25718,2423,53.27,54.005842,8.88014
010515166046,Schleswig-Holstein,Dithmarschen,Helse,25709,854,11.44,53.977556,9.010226
010515166057,Schleswig-Holstein,Dithmarschen,Kaiser-Wilhelm-Koog,25709,319,13.05,53.942933,8.926364
010515166062,Schleswig-Holstein,Dithmarschen,Kronprinzenkoog,25709,831,28.84,53.97171,8.964528
010515166072,Schleswig-Holstein,Dithmarschen,"Marne, Stadt",25709,5558,4.83,53.953695,9.008761
010515166073,Schleswig-Holstein,Dithmarschen,Marnerdeich,25709,389,1.31,53.948483,8.982956
010515166076,Schleswig-Holstein,Dithmarschen,Neufeld,25724,594,10.4,53.907495,9.017576
010515166077,Schleswig-Holstein,Dithmarschen,Neufelderkoog,25724,103,9.77,53.906958,8.968827
010515166090,Schleswig-Holstein,Dithmarschen,Ramhusen,25715,162,4.8,53.941207,9.090658
010515166103,Schleswig-Holstein,Dithmarschen,Schmedeswurth,25724,178,5.91,53.926172,9.040335
010515166118,Schleswig-Holstein,Dithmarschen,Trennewurth,25693,239,7.79,54.000236,9.025792
010515166119,Schleswig-Holstein,Dithmarschen,Volsemenhusen,25693,322,16.78,53.967901,9.065625
010515169005,Schleswig-Holstein,Dithmarschen,Barkenholm,25791,169,5.11,54.237387,9.174339
010515169008,Schleswig-Holstein,Dithmarschen,Bergewöhrden,25779,36,2.64,54.318469,9.209426
010515169019,Schleswig-Holstein,Dithmarschen,Dellstedt,25786,740,21.77,54.237892,9.369143
010515169020,Schleswig-Holstein,Dithmarschen,Delve,25788,769,15.84,54.303978,9.252365
010515169023,Schleswig-Holstein,Dithmarschen,Dörpling,25794,632,7.82,54.260654,9.301925
010515169030,Schleswig-Holstein,Dithmarschen,Fedderingen,25779,261,9.69,54.281144,9.132642
010515169035,Schleswig-Holstein,Dithmarschen,Gaushorn,25782,178,6.45,54.194896,9.225318
010515169036,Schleswig-Holstein,Dithmarschen,Glüsing,25779,113,4.69,54.274547,9.216421
010515169038,Schleswig-Holstein,Dithmarschen,Groven,25774,101,7.9,54.300165,8.989147
010515169047,Schleswig-Holstein,Dithmarschen,Hemme,25774,520,16.53,54.28021,9.010966
010515169049,Schleswig-Holstein,Dithmarschen,Hennstedt,25779,2037,21.93,54.283636,9.168248
010515169052,Schleswig-Holstein,Dithmarschen,Hövede,25782,51,2.94,54.243806,9.293409
010515169053,Schleswig-Holstein,Dithmarschen,Hollingstedt,25788,326,9.74,54.290548,9.226797
010515169058,Schleswig-Holstein,Dithmarschen,Karolinenkoog,25774,155,17.55,54.292554,8.965495
010515169060,Schleswig-Holstein,Dithmarschen,Kleve,25779,411,12.81,54.295706,9.123229
010515169061,Schleswig-Holstein,Dithmarschen,Krempel,25774,603,4.82,54.320019,9.027607
010515169065,Schleswig-Holstein,Dithmarschen,Lehe,25774,1084,18.63,54.344168,9.025334
010515169068,Schleswig-Holstein,Dithmarschen,Linden,25791,848,11.62,54.252623,9.182428
010515169071,Schleswig-Holstein,Dithmarschen,Lunden,25774,1761,4.65,54.330568,9.024249
010515169080,Schleswig-Holstein,Dithmarschen,Norderheistedt,25779,123,4.33,54.245331,9.146139
010515169088,Schleswig-Holstein,Dithmarschen,Pahlen,25794,1160,10.8,54.267813,9.296387
010515169092,Schleswig-Holstein,Dithmarschen,Rehm-Flehde-Bargen,25776,544,14.63,54.303981,9.036287
010515169096,Schleswig-Holstein,Dithmarschen,Sankt Annen,25776,312,14.89,54.345413,9.07975
010515169100,Schleswig-Holstein,Dithmarschen,Schalkholz,25782,565,12.52,54.246244,9.257028
010515169102,Schleswig-Holstein,Dithmarschen,Schlichting,25779,244,12.5,54.31014,9.089378
010515169114,Schleswig-Holstein,Dithmarschen,Tellingstedt,25782,2792,21.1,54.219944,9.2822
010515169117,Schleswig-Holstein,Dithmarschen,Tielenhemme,25794,159,12.68,54.27746,9.398414
010515169120,Schleswig-Holstein,Dithmarschen,Wallen,25788,28,1.86,54.284766,9.269563
010515169125,Schleswig-Holstein,Dithmarschen,Welmbüttel,25782,394,7.6,54.196873,9.246826
010515169131,Schleswig-Holstein,Dithmarschen,Westerborstel,25782,105,4.14,54.220127,9.260601
010515169133,Schleswig-Holstein,Dithmarschen,Wiemerstedt,25779,155,5.08,54.269259,9.11111
010515169136,Schleswig-Holstein,Dithmarschen,Wrohm,25799,747,11.45,54.212642,9.379505
010515169139,Schleswig-Holstein,Dithmarschen,Süderdorf,25782,354,16.21,54.220732,9.343678
010515169141,Schleswig-Holstein,Dithmarschen,Süderheistedt,25779,542,8.44,54.23483,9.148463
010515172048,Schleswig-Holstein,Dithmarschen,Hemmingstedt,25770,2835,16.01,54.147509,9.072111
010515172067,Schleswig-Holstein,Dithmarschen,Lieth,25770,384,4.66,54.15531,9.060773
010515172069,Schleswig-Holstein,Dithmarschen,Lohe-Rickelshof,25746,2003,5.39,54.187725,9.065603
010515172075,Schleswig-Holstein,Dithmarschen,Neuenkirchen,25792,940,25.14,54.235602,8.987884
010515172081,Schleswig-Holstein,Dithmarschen,Norderwöhrden,25746,254,18.47,54.192783,9.000232
010515172082,Schleswig-Holstein,Dithmarschen,Nordhastedt,25785,2736,26.56,54.17205,9.182991
010515172087,Schleswig-Holstein,Dithmarschen,Ostrohe,25746,876,6.66,54.214,9.130804
010515172107,Schleswig-Holstein,Dithmarschen,Stelle-Wittenwurth,25795,475,10.71,54.254357,9.066849
010515172113,Schleswig-Holstein,Dithmarschen,Wöhrden,25797,1200,21.77,54.165463,8.994508
010515172122,Schleswig-Holstein,Dithmarschen,Weddingstedt,25795,2334,17.89,54.239275,9.088863
010515172130,Schleswig-Holstein,Dithmarschen,Wesseln,25746,1372,3.76,54.208327,9.075443
010515175001,Schleswig-Holstein,Dithmarschen,Albersdorf,25767,3715,17.12,54.146557,9.283995
010515175002,Schleswig-Holstein,Dithmarschen,Arkebek,25767,220,6.92,54.160197,9.250362
010515175004,Schleswig-Holstein,Dithmarschen,Bargenstedt,25704,947,11.9,54.095594,9.144199
010515175006,Schleswig-Holstein,Dithmarschen,Barlt,25719,750,22.88,54.012444,9.058002
010515175015,Schleswig-Holstein,Dithmarschen,Bunsoh,25767,766,11.75,54.165522,9.320225
010515175017,Schleswig-Holstein,Dithmarschen,Busenwurth,25719,324,10.09,54.041407,9.041298
010515175027,Schleswig-Holstein,Dithmarschen,Elpersbüttel,25704,879,30.17,54.072963,9.047156
010515175028,Schleswig-Holstein,Dithmarschen,Epenwöhrden,25704,744,13.52,54.112805,9.052894
010515175039,Schleswig-Holstein,Dithmarschen,Gudendorf,25693,421,6.04,54.024736,9.1082
010515175054,Schleswig-Holstein,Dithmarschen,Immenstedt,25767,114,3.09,54.180686,9.299737
010515175063,Schleswig-Holstein,Dithmarschen,Krumstedt,25727,522,15.89,54.068684,9.177954
010515175074,Schleswig-Holstein,Dithmarschen,"Meldorf, Stadt",25704,7158,21.26,54.090945,9.068784
010515175078,Schleswig-Holstein,Dithmarschen,Nindorf,25704,1155,8.75,54.086722,9.114943
010515175083,Schleswig-Holstein,Dithmarschen,Odderade,25785,325,11.27,54.139384,9.190795
010515175085,Schleswig-Holstein,Dithmarschen,Offenbüttel,25767,263,13.95,54.169186,9.357994
010515175086,Schleswig-Holstein,Dithmarschen,Osterrade,25767,406,17.09,54.190212,9.353264
010515175098,Schleswig-Holstein,Dithmarschen,Sarzbüttel,25785,717,13.39,54.118843,9.184027
010515175099,Schleswig-Holstein,Dithmarschen,Schafstedt,25725,1275,18.16,54.079915,9.293675
010515175104,Schleswig-Holstein,Dithmarschen,Schrum,25782,77,5.01,54.187229,9.251667
010515175126,Schleswig-Holstein,Dithmarschen,Wennbüttel,25767,93,4.59,54.139359,9.325945
010515175134,Schleswig-Holstein,Dithmarschen,Windbergen,25729,766,17.31,54.044978,9.117779
010515175135,Schleswig-Holstein,Dithmarschen,Wolmersdorf,25704,323,6.11,54.077114,9.103978
010515175137,Schleswig-Holstein,Dithmarschen,Nordermeldorf,25704,609,34.1,54.112068,9.013736
010515175138,Schleswig-Holstein,Dithmarschen,Tensbüttel-Röst,25767,647,19.36,54.105741,9.228605
010515178013,Schleswig-Holstein,Dithmarschen,Büsum,25761,5211,8.48,54.130341,8.859577
010515178014,Schleswig-Holstein,Dithmarschen,Büsumer Deichhausen,25761,365,2.87,54.136175,8.890088
010515178033,Schleswig-Holstein,Dithmarschen,Friedrichsgabekoog,25764,51,8.62,54.157516,8.941082
010515178043,Schleswig-Holstein,Dithmarschen,Hedwigenkoog,25761,186,16.36,54.177985,8.840953
010515178045,Schleswig-Holstein,Dithmarschen,Hellschen-Heringsand-Unterschaar,25764,159,7.02,54.194536,8.872882
010515178050,Schleswig-Holstein,Dithmarschen,Hillgroven,25764,60,3.6,54.227921,8.874901
010515178079,Schleswig-Holstein,Dithmarschen,Norddeich,25764,419,6.9,54.218049,8.899964
010515178084,Schleswig-Holstein,Dithmarschen,Oesterdeichstrich,25761,213,4.64,54.158891,8.900566
010515178093,Schleswig-Holstein,Dithmarschen,Reinsbüttel,25764,403,6.83,54.179073,8.911057
010515178105,Schleswig-Holstein,Dithmarschen,Schülp,25764,393,9.27,54.241971,8.929943
010515178108,Schleswig-Holstein,Dithmarschen,Strübbel,25792,83,4.4,54.260389,8.971812
010515178109,Schleswig-Holstein,Dithmarschen,Süderdeich,25764,439,6.64,54.201711,8.91131
010515178121,Schleswig-Holstein,Dithmarschen,Warwerort,25761,218,4.58,54.141177,8.921723
010515178127,Schleswig-Holstein,Dithmarschen,"Wesselburen, Stadt",25764,3336,5.13,54.212159,8.920686
010515178128,Schleswig-Holstein,Dithmarschen,Wesselburener Deichhausen,25764,110,5.07,54.174947,8.937237
010515178129,Schleswig-Holstein,Dithmarschen,Wesselburenerkoog,25764,152,21.89,54.239438,8.876475
010515178132,Schleswig-Holstein,Dithmarschen,Westerdeichstrich,25761,770,7.5,54.162006,8.863517
010515178140,Schleswig-Holstein,Dithmarschen,Oesterwurth,25764,242,14.19,54.211016,8.991292
010530032032,Schleswig-Holstein,Herzogtum Lauenburg,"Geesthacht, Stadt",21502,33955,33.25,53.433112,10.371733
010530083083,Schleswig-Holstein,Herzogtum Lauenburg,"Lauenburg/ Elbe, Stadt",21481,11701,9.56,53.374189,10.554267
010530090090,Schleswig-Holstein,Herzogtum Lauenburg,"Mölln, Stadt",23879,19513,25.05,53.629521,10.691022
010530100100,Schleswig-Holstein,Herzogtum Lauenburg,"Ratzeburg, Stadt",23909,14952,30.29,53.699024,10.774492
010530116116,Schleswig-Holstein,Herzogtum Lauenburg,"Schwarzenbek, Stadt",21493,16923,15.45,53.502645,10.477663
010530129129,Schleswig-Holstein,Herzogtum Lauenburg,Wentorf bei Hamburg,21465,13477,6.87,53.491012,10.2519
010535308008,Schleswig-Holstein,Herzogtum Lauenburg,Behlendorf,23919,397,10.25,53.699475,10.667846
010535308009,Schleswig-Holstein,Herzogtum Lauenburg,Berkenthin,23919,2195,10.34,53.734488,10.638221
010535308011,Schleswig-Holstein,Herzogtum Lauenburg,Bliestorf,23847,628,10.35,53.768797,10.602527
010535308024,Schleswig-Holstein,Herzogtum Lauenburg,Düchelsdorf,23847,165,3.01,53.737072,10.580373
010535308034,Schleswig-Holstein,Herzogtum Lauenburg,Göldenitz,23919,253,5.06,53.722025,10.631501
010535308061,Schleswig-Holstein,Herzogtum Lauenburg,Kastorf,23847,1234,6.9,53.748875,10.570134
010535308067,Schleswig-Holstein,Herzogtum Lauenburg,Klempau,23628,603,10.07,53.762851,10.660387
010535308075,Schleswig-Holstein,Herzogtum Lauenburg,Krummesse,23628,1645,3.35,53.780123,10.641961
010535308094,Schleswig-Holstein,Herzogtum Lauenburg,Niendorf bei Berkenthin,23919,185,3.99,53.702417,10.626158
010535308103,Schleswig-Holstein,Herzogtum Lauenburg,Rondeshagen,23919,779,9.51,53.753642,10.629717
010535308120,Schleswig-Holstein,Herzogtum Lauenburg,Sierksrade,23847,432,4.0,53.736555,10.600344
010535313002,Schleswig-Holstein,Herzogtum Lauenburg,Alt-Mölln,23881,833,6.44,53.622775,10.658165
010535313005,Schleswig-Holstein,Herzogtum Lauenburg,Bälau,23881,235,6.5,53.616381,10.621739
010535313013,Schleswig-Holstein,Herzogtum Lauenburg,Borstorf,23881,303,8.64,53.613074,10.564234
010535313014,Schleswig-Holstein,Herzogtum Lauenburg,Breitenfelde,23881,2112,12.54,53.605112,10.632977
010535313037,Schleswig-Holstein,Herzogtum Lauenburg,Grambek,23883,567,12.66,53.574025,10.68068
010535313056,Schleswig-Holstein,Herzogtum Lauenburg,Hornbek,21514,197,5.89,53.5589,10.648548
010535313084,Schleswig-Holstein,Herzogtum Lauenburg,Lehmrade,23883,636,11.4,53.5947,10.752721
010535313095,Schleswig-Holstein,Herzogtum Lauenburg,Niendorf/ Stecknitz,23881,665,8.41,53.587228,10.609244
010535313113,Schleswig-Holstein,Herzogtum Lauenburg,Schretstaken,21493,495,8.47,53.586533,10.539293
010535313125,Schleswig-Holstein,Herzogtum Lauenburg,Talkau,21493,614,4.88,53.576852,10.568741
010535313134,Schleswig-Holstein,Herzogtum Lauenburg,Woltersdorf,21516,347,7.9,53.576862,10.640176
010535318010,Schleswig-Holstein,Herzogtum Lauenburg,Besenthal,23899,100,12.65,53.530139,10.743239
010535318015,Schleswig-Holstein,Herzogtum Lauenburg,Bröthen,21514,327,10.69,53.480281,10.667034
010535318020,Schleswig-Holstein,Herzogtum Lauenburg,Büchen,21514,6783,16.85,53.480926,10.616482
010535318029,Schleswig-Holstein,Herzogtum Lauenburg,Fitzen,21514,402,9.11,53.493942,10.64667
010535318035,Schleswig-Holstein,Herzogtum Lauenburg,Göttin,21514,70,5.21,53.533746,10.70343
010535318046,Schleswig-Holstein,Herzogtum Lauenburg,Gudow,23899,1763,42.25,53.555336,10.77219
010535318048,Schleswig-Holstein,Herzogtum Lauenburg,Güster,21514,1269,7.78,53.53952,10.680583
010535318064,Schleswig-Holstein,Herzogtum Lauenburg,Klein Pampau,21514,688,4.17,53.512681,10.586656
010535318080,Schleswig-Holstein,Herzogtum Lauenburg,Langenlehsten,21514,186,23.37,53.499907,10.740533
010535318092,Schleswig-Holstein,Herzogtum Lauenburg,Müssen,21516,1247,11.46,53.494346,10.562546
010535318104,Schleswig-Holstein,Herzogtum Lauenburg,Roseburg,21514,548,16.24,53.530505,10.624215
010535318115,Schleswig-Holstein,Herzogtum Lauenburg,Schulendorf,21516,486,11.38,53.47331,10.561815
010535318119,Schleswig-Holstein,Herzogtum Lauenburg,Siebeneichen,21514,292,4.68,53.510828,10.618693
010535318126,Schleswig-Holstein,Herzogtum Lauenburg,Tramm,21516,334,6.74,53.56324,10.614693
010535318132,Schleswig-Holstein,Herzogtum Lauenburg,Witzeeze,21514,952,10.46,53.452652,10.610144
010535323003,Schleswig-Holstein,Herzogtum Lauenburg,Aumühle,21521,3241,45.31,53.528598,10.313492
010535323012,Schleswig-Holstein,Herzogtum Lauenburg,Börnsen,21039,4706,9.53,53.476743,10.285588
010535323023,Schleswig-Holstein,Herzogtum Lauenburg,Dassendorf,21521,3397,12.32,53.488608,10.372665
010535323028,Schleswig-Holstein,Herzogtum Lauenburg,Escheburg,21039,4009,8.91,53.46713,10.309429
010535323050,Schleswig-Holstein,Herzogtum Lauenburg,Hamwarde,21502,889,6.67,53.452847,10.421397
010535323053,Schleswig-Holstein,Herzogtum Lauenburg,Hohenhorn,21526,517,6.93,53.475734,10.367611
010535323072,Schleswig-Holstein,Herzogtum Lauenburg,Kröppelshagen-Fahrendorf,21529,1351,10.05,53.488589,10.315197
010535323131,Schleswig-Holstein,Herzogtum Lauenburg,Wiershop,21502,218,5.15,53.442501,10.451895
010535323133,Schleswig-Holstein,Herzogtum Lauenburg,Wohltorf,21521,2525,5.97,53.517253,10.291254
010535323135,Schleswig-Holstein,Herzogtum Lauenburg,Worth,21502,172,6.07,53.467545,10.408431
